Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
ASISTENTE EN DESPACHO,PODER JUDICIAL,PIURA - SULLANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 2,972.00",21/04/2026,5/05/2026,0,,PODER JUDICIAL
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-144,1,"S/. 3,500.00",21/04/2026,5/05/2026,0,,DEFENSORIA DEL PUEBLO
ABOGADO RESOLUTOR,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE YUNGUYO
CONDUCTOR DE CAMION COMPACTADOR,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,800.00",21/04/2026,5/05/2026,0,,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF
CONDUCTORES DE MOTO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,2,"S/. 1,500.00",21/04/2026,5/05/2026,0,,SUB REGION BAJO MAYO - TARAPOTO
CONDUCTORES DE VEHICULO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,4,"S/. 1,600.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE HUICUNGO
ESPECIALISTA EN ADQUISICIONES,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE TACNA
ESPECIALISTA EN ALMACEN,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,200.00",21/04/2026,5/05/2026,0,,CORTE SUPERIOR DE JUSTICIA DE LAMBAYEQUE
ESPECIALISTA EN PROCESO I,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 3,400.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL N° 8 CANETE
ESPECIALISTA EN REGISTRO CIVIL,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,000.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL # 01
