Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento
ASISTENTE EN DESPACHO,PODER JUDICIAL,PIURA - SULLANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 2,972.00",21/04/2026,05/05/2026,0
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-144,1,"S/. 3,500.00",21/04/2026,05/05/2026,0
ABOGADO RESOLUTOR,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",21/04/2026,05/05/2026,0
CONDUCTOR DE CAMION COMPACTADOR,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,800.00",21/04/2026,05/05/2026,0
CONDUCTORES DE MOTO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,2,"S/. 1,500.00",21/04/2026,05/05/2026,0
CONDUCTORES DE VEHICULO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,4,"S/. 1,600.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN ADQUISICIONES,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN ALMACEN,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,200.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN PROCESO I,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 3,400.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN REGISTRO CIVIL,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN SIGA Y SIRICC,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,500.00",21/04/2026,05/05/2026,0
PSICOLOGO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,800.00",21/04/2026,05/05/2026,0
RESPONSABLE DE BANCO DE INVERSIONES,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,500.00",21/04/2026,05/05/2026,0
RESPONSABLE DE COMERCIO Y MERCADOS,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",21/04/2026,05/05/2026,0
RESPONSABLE DE ESTUDIO DE MERCADO EN BIENES,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",21/04/2026,05/05/2026,0
RESPONSABLE DE ESTUDIO DE MERCADO EN SERVICIO,MUNICIPALIDAD PROVINCIAL DE YUNGUYO,PUNO - YUNGUYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",21/04/2026,05/05/2026,0
